Station;Latitude;Longitude;Entry Weekday;Entry Saturday;Entry Sunday;Exit Weekday;Exit Saturday;Exit Sunday;Annual Entry+Exit (million);Annual Entry;Annual Exit;
Tottenham Court Road;51,516211;-0,131096;37528;28025;17552;37469;28285;17841;23,99;11,27;12,72;
Tottenham Hale;51,587998;-0,060173;14047;9738;6240;14254;9166;5888;8,86;4,21;4,65;
Totteridge and Whetstone;51,630247;-0,17934;3372;1970;1139;3162;1742;1089;1,98;0,96;1,02;
Tower Hill;51,510394;-0,076687;32338;26387;19603;33145;26135;19076;21,58;10,31;11,27;
Tufnell Park;51,556441;-0,137728;5910;4642;3203;5051;3498;2706;3,55;1,81;1,74;
Turnham Green;51,495182;-0,25451;9275;6373;3979;9372;6082;3971;5,83;2,76;3,07;
Turnpike Lane;51,590358;-0,102791;14983;12274;8572;14925;11243;8564;9,80;4,73;5,07;
Upminster;51,558763;0,251415;7316;4622;2006;7953;4177;1985;4,56;2,07;2,49;
Upminster Bridge;51,557719;0,234556;1805;603;256;1758;501;247;0,99;0,48;0,51;
Upney;51,538406;0,101546;3682;2012;1245;3312;1833;1107;2,11;1,04;1,07;
Upton Park;51,536628;0,034556;17232;13875;8902;16542;13877;8499;11,01;5,23;5,79;
Uxbridge;51,546455;-0,477087;11378;6841;3769;11390;6432;4036;6,91;3,26;3,65;
Vauxhall;51,485736;-0,123816;34633;23396;16638;31228;20598;15924;20,87;10,40;10,47;
Victoria;51,496424;-0,143906;124079;96667;71688;127195;99471;71940;82,25;39,06;43,19;
Walthamstow Central;51,583018;-0,019926;22851;16370;10935;21976;15689;11240;14,32;6,89;7,42;
Wanstead;51,574902;0,028775;4070;3041;1883;4013;2819;1869;2,57;1,23;1,35;
Warren Street;51,52458;-0,138264;27238;10356;7029;27558;9831;6163;15,69;7,58;8,11;
Warwick Avenue;51,523104;-0,182939;7094;5123;3430;6323;4556;3462;4,30;2,13;2,18;
Waterloo;51,503147;-0,113245;134576;85230;51253;138966;83684;52700;84,12;39,39;44,74;
Watford;51,657605;-0,417256;2696;1207;744;2685;1181;723;1,57;0,75;0,82;
Wembley Central;51,551865;-0,296378;7067;5654;4177;6774;5434;4034;4,56;2,22;2,34;
Wembley Park;51,563322;-0,279228;15153;10754;8747;14742;10377;8196;9,66;4,75;4,91;
West Acton;51,51777;-0,280643;2640;1897;1185;2483;1660;1129;1,62;0,79;0,83;
West Brompton;51,487329;-0,195524;6478;5079;3226;6836;4728;2996;4,25;2,00;2,25;
West Finchley;51,609263;-0,188903;2421;1317;770;2163;1085;757;1,37;0,68;0,69;
West Ham;51,528526;0,005332;5281;4778;3154;4864;4494;3114;3,42;1,65;1,77;
West Hampstead;51,547474;-0,191112;14057;10187;6366;11903;8166;5712;8,23;4,14;4,09;
West Harrow;51,578924;-0,353832;1790;987;554;1773;1058;586;1,08;0,50;0,57;
West Kensington;51,490109;-0,206189;8121;5660;3799;6536;4303;3160;4,64;2,39;2,24;
West Ruislip;51,569588;-0,437846;2613;2233;1305;2428;1944;1207;1,64;0,79;0,85;
