[[  0.           0.        ]
 [  0.04027741   0.04376302]
 [  3.25046841   3.53176191]
 [  3.54015111   3.8465135 ]
 [  0.           0.        ]
 [  0.00038267   0.00041579]
 [  0.00000203   0.0000022 ]
 [  4.16151264   4.52164921]
 [  0.14826083   0.16109132]
 [  0.0024807    0.00269538]
 [  0.62739832   0.68169333]
 [ 43.15287551  46.88732455]
 [  0.01463313   0.01589947]
 [ 19.78137902  21.49325179]
 [  3.74407104   4.06808129]
 [  0.00112211   0.00121922]
 [  0.00006649   0.00007224]
 [  0.56090609   0.60944692]
 [  2.04838386   2.22565107]
 [  0.           0.        ]
 [  0.           0.        ]
 [  0.00009195   0.0000999 ]
 [  0.51791416   0.56273444]
 [  3.04078235   3.3039302 ]
 [  3.08370721   3.3505693 ]
 [  2.84535046   3.09158653]
 [  0.03007293   0.03267544]
 [  0.           0.        ]
 [ 60.52862176  65.76676586]
 [  4.86230328   5.2830849 ]
 [  0.00094472   0.00102647]
 [  0.00866653   0.00941653]
 [  0.           0.        ]
 [  0.34437711   0.37417918]
 [  0.0121478    0.01319907]
 [  0.57662269   0.62652345]
 [  0.13532943   0.14704067]
 [  0.00025317   0.00027508]
 [  0.00028302   0.00030751]
 [  3.45682408   3.75597737]
 [  6.32067507   6.86766605]
 [  0.8714224    0.94683482]
 [  0.2529189    0.27480633]
 [  0.06658124   0.0723431 ]
 [  0.21416112   0.23269457]
 [  0.12939891   0.1405971 ]
 [  0.00000766   0.00000832]
 [  1.80930023   1.96587702]
 [  7.37198525   8.00995577]
 [ 38.44228446  41.76907637]
 [  0.00000203   0.0000022 ]
 [  0.00007291   0.00007922]
 [  0.03522214   0.03827027]
 [  0.0000249    0.00002706]
 [  0.17858388   0.19403847]
 [  0.62387104   0.67786066]
 [  0.05111987   0.05554376]
 [  0.00005342   0.00005804]
 [  0.00099484   0.00108094]
 [  0.00034304   0.00037272]
 [ 17.15900599  18.64394533]
 [  0.           0.        ]
 [  0.00008588   0.00009331]
 [  0.           0.        ]
 [  0.           0.        ]
 [  0.           0.        ]
 [  0.00000753   0.00000819]
 [  0.00002632   0.0000286 ]
 [  0.00002073   0.00002253]
 [  0.           0.        ]
 [  0.           0.        ]
 [  0.56307676   0.61180545]
 [  0.00384933   0.00418246]
 [  0.01263318   0.01372646]
 [  1.39553371   1.51630321]
 [  0.0036845    0.00400336]
 [  0.009937     0.01079695]
 [  0.01223734   0.01329635]
 [  0.00392001   0.00425924]
 [  0.           0.        ]
 [  0.00268198   0.00291408]
 [  0.00007488   0.00008136]
 [  5.03674838   5.47262865]
 [ 13.0805992   14.21259415]
 [  7.75619833   8.42741705]
 [  0.00000216   0.00000234]
 [  0.           0.        ]
 [ 34.74389736  37.75062847]
 [  0.00000156   0.0000017 ]
 [ 14.70797909  15.98080693]
 [  6.65758838   7.23373583]
 [  0.00002059   0.00002238]
 [  4.16151264   4.52164921]
