 [  1.16630632   1.26723752]
 [  0.00100272   0.00108949]
 [  0.           0.        ]
 [  9.9898956   10.85441625]
 [  0.00030189   0.00032801]
 [  0.00002582   0.00002805]
 [  5.56359609   6.04506948]
 [  0.           0.        ]
 [  1.61843367   1.75849298]
 [  0.00023072   0.00025068]
 [  0.           0.        ]
 [  0.           0.        ]
 [  0.00330031   0.00358592]
 [  0.00002278   0.00002475]
 [  0.45876014   0.49846127]
 [  0.0009687    0.00105253]
 [  0.00335948   0.00365021]
 [  0.00339296   0.00368659]
 [  0.00362276   0.00393627]
 [  0.08453096   0.0918462 ]
 [  0.0409729    0.0445187 ]
 [  0.00002322   0.00002523]
 [  1.45454723   1.58042379]
 [  0.00020191   0.00021939]
 [  3.74407104   4.06808129]
 [  0.00027043   0.00029383]
 [  3.94974444   4.29155407]
 [ 84.89597147  92.24286457]
 [  6.28770459   6.83184268]
 [  0.00105973   0.00115143]
 [  0.03273268   0.03556536]
 [  0.00027802   0.00030208]
 [ 66.37999744  72.12451828]
 [  9.48998284  10.31124519]
 [  0.01172911   0.01274415]
 [  0.04783979   0.05197978]
 [  0.           0.        ]
 [  1.5908344    1.72850527]
 [  0.           0.        ]
 [  0.           0.        ]
 [  0.00936973   0.01018059]
 [  0.04221633   0.04586973]
 [  0.45485223   0.49421517]
 [  1.71960152   1.86841582]
 [  0.06584779   0.07154627]
 [  0.01287157   0.01398548]
 [  0.00281397   0.00305748]
 [ 33.87815736  36.80997188]
 [  0.00199949   0.00217253]
 [  0.00008646   0.00009394]
 [  0.00025329   0.00027521]
 [  0.           0.        ]
 [  0.           0.        ]
 [  1.79996605   1.95573518]
 [  0.           0.        ]
 [  0.00030189   0.00032802]
 [  0.00000185   0.00000201]
 [  0.00105469   0.00114596]
 [  8.64222531   9.39012292]
 [  0.36947704   0.40145155]
 [  0.           0.        ]
 [  0.11919903   0.12951452]
 [  0.02895632   0.0314622 ]
 [  0.           0.        ]
 [ 10.07052166  10.94202386]
 [  0.00983629   0.0106875 ]
 [  0.00076733   0.00083374]
 [  0.00070975   0.00077117]
 [ 12.46249912  13.5409999 ]
 [  0.01152945   0.01252721]
 [  0.00369088   0.00401029]
 [  5.28166347   5.73873828]
 [  0.00000664   0.00000722]
 [  0.           0.        ]
 [  0.00000652   0.00000708]
 [  0.00009759   0.00010603]
 [  0.00283641   0.00308187]
 [  0.04198735   0.04562094]
 [  0.03423534   0.03719807]
 [  0.59825533   0.65002782]
 [  2.17945256   2.36806181]
 [  0.00028344   0.00030797]
 [  0.38192761   0.41497924]
 [ 20.96281891  22.77693883]
 [ 13.49522438  14.66310098]
 [  7.18402797   7.80573117]
 [  0.0010788    0.00117216]
 [  0.00038667   0.00042013]
 [  0.           0.        ]
 [  7.85485837   8.53461788]
 [  9.94507044  10.80571503]
 [  0.0000059    0.00000641]
 [  0.00418874   0.00455123]
 [  0.00119898   0.00130274]
 [ 44.98983294  48.88325077]
 [  0.10570979   0.11485791]
 [  0.0000883    0.00009594]
 [  0.           0.        ]
 [  1.79661092   1.95208834]
 [  0.51791625   0.56273671]
 [  0.09285131   0.10088668]
 [  0.10576759   0.11492071]
 [  0.00000005   0.00000005]
 [  0.00000018   0.00000019]
 [  0.00032121   0.000349  ]
 [  0.01369424   0.01487932]
 [  0.0000065    0.00000706]
 [  3.08740798   3.3545919 ]
 [ 32.78175756  35.61868834]
 [  0.00795646   0.00864501]
 [  0.00983035   0.01068105]
 [  0.           0.        ]
 [ 31.72214848  34.46738176]
 [  1.79986206   1.95562218]
 [ 36.4825529   39.63974415]
 [  0.00002272   0.00002469]
 [  0.00008114   0.00008816]
 [  5.55409777   6.03474951]
 [  0.5156055    0.56022603]
 [  0.           0.        ]
 [ 46.45113342  50.47100817]
 [  0.00191611   0.00208193]
 [  0.39947302   0.43404343]
 [  0.00108484   0.00117872]
 [  0.16712478   0.18158755]
 [  4.64524433   5.04724384]
 [  0.04127516   0.04484712]
 [  0.           0.        ]
 [  0.51761942   0.56241422]
 [  0.00000049   0.00000053]
 [  1.09490847   1.18966102]
 [  0.03416579   0.0371225 ]
 [  0.5098207    0.55394061]
 [  0.00345919   0.00375855]
 [  0.00005775   0.00006275]
 [  0.0002183    0.00023719]
 [  0.00088443   0.00096097]
 [  0.00031038   0.00033724]
 [  0.03027609   0.03289618]]
