 [  2.9    2.95]
 [ 34.57  42.53]
 [ 22.76  23.71]
 [  0.74   0.85]
 [  2.91   3.03]
 [  1.01   1.07]
 [ 18.64  21.94]
 [  4.33   4.46]
 [  1.1    1.2 ]
 [  3.06   3.28]
 [  0.     0.  ]
 [  1.45   1.51]
 [  0.     0.  ]
 [  0.     0.  ]
 [  2.52   2.82]
 [  2.76   2.76]
 [  1.53   1.64]
 [  4.27   4.59]
 [  1.3    1.35]
 [  1.92   2.06]
 [  1.3    1.33]
 [  1.68   2.09]
 [  3.42   4.05]
 [  1.02   1.01]
 [  0.11   0.11]
 [  0.     0.  ]
 [  0.     0.  ]
 [  1.01   1.04]
 [  0.     0.  ]
 [  0.73   0.84]
 [  0.5    0.5 ]
 [  0.76   0.84]
 [  7.06   7.67]
 [  6.26   6.27]
 [  0.     0.  ]
 [ 10.44  11.16]
 [  1.46   1.54]
 [  0.     0.  ]
 [  7.04   7.9 ]
 [  1.33   1.27]
