 [ 0.00000023  0.00000023]
 [ 0.05483503  0.05483503]
 [ 0.00783946  0.00783946]
 [ 0.00000969  0.00000969]
 [ 0.00003952  0.00003952]
 [ 0.          0.        ]
 [ 0.00131415  0.00131415]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.00000774  0.00000774]
 [ 0.00003487  0.00003487]
 [ 0.00037574  0.00037574]
 [ 0.00142052  0.00142052]
 [ 0.0000544   0.0000544 ]
 [ 0.00001063  0.00001063]
 [ 0.00000232  0.00000232]
 [ 0.02798599  0.02798599]
 [ 0.00000165  0.00000165]
 [ 0.00000007  0.00000007]
 [ 0.00000021  0.00000021]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.00148691  0.00148691]
 [ 0.          0.        ]
 [ 0.00000025  0.00000025]
 [ 0.          0.        ]
 [ 0.00000087  0.00000087]
 [ 0.00713915  0.00713915]
 [ 0.00030522  0.00030522]
 [ 0.          0.        ]
 [ 0.00009847  0.00009847]
 [ 0.00002392  0.00002392]
 [ 0.          0.        ]
 [ 0.00831903  0.00831903]
 [ 0.00000813  0.00000813]
 [ 0.00000063  0.00000063]
 [ 0.00000059  0.00000059]
 [ 0.01029499  0.01029499]
 [ 0.00000952  0.00000952]
 [ 0.00000305  0.00000305]
 [ 0.00436306  0.00436306]
 [ 0.00000001  0.00000001]
 [ 0.          0.        ]
 [ 0.00000001  0.00000001]
 [ 0.00000008  0.00000008]
 [ 0.00000234  0.00000234]
 [ 0.00003468  0.00003468]
 [ 0.00002828  0.00002828]
 [ 0.00049421  0.0004942 ]
 [ 0.0018004   0.0018004 ]
 [ 0.00000023  0.00000023]
 [ 0.0003155   0.0003155 ]
 [ 0.01731692  0.01731692]
 [ 0.0111481   0.0111481 ]
 [ 0.00593456  0.00593456]
 [ 0.00000089  0.00000089]
 [ 0.00000032  0.00000032]
 [ 0.          0.        ]
 [ 0.00648872  0.00648872]
 [ 0.0082154   0.0082154 ]
 [ 0.          0.        ]
 [ 0.00000346  0.00000346]
 [ 0.00000099  0.00000099]
 [ 0.03716509  0.0371651 ]
 [ 0.00008732  0.00008732]
 [ 0.00000007  0.00000007]
 [ 0.          0.        ]
 [ 0.00148414  0.00148414]
 [ 0.00042784  0.00042784]
 [ 0.0000767   0.0000767 ]
 [ 0.00008737  0.00008737]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.00000027  0.00000027]
 [ 0.00001131  0.00001131]
 [ 0.00000001  0.00000001]
 [ 0.00255044  0.00255044]
 [ 0.02708028  0.02708028]
 [ 0.00000657  0.00000657]
 [ 0.00000812  0.00000812]
 [ 0.          0.        ]
 [ 0.02620496  0.02620496]
 [ 0.00148683  0.00148683]
 [ 0.03013742  0.03013742]
 [ 0.00000002  0.00000002]
 [ 0.00000007  0.00000007]
 [ 0.00458812  0.00458812]
 [ 0.00042593  0.00042593]
 [ 0.          0.        ]
 [ 0.03837224  0.03837224]
 [ 0.00000158  0.00000158]
 [ 0.00033     0.00033   ]
 [ 0.0000009   0.0000009 ]
 [ 0.00013806  0.00013806]
 [ 0.00383733  0.00383733]
 [ 0.0000341   0.0000341 ]
 [ 0.          0.        ]
 [ 0.00042759  0.00042759]
 [ 0.          0.        ]
 [ 0.00090448  0.00090448]
 [ 0.00002822  0.00002822]
 [ 0.00042115  0.00042115]
 [ 0.00000286  0.00000286]
 [ 0.00000005  0.00000005]
 [ 0.00000018  0.00000018]
 [ 0.00000073  0.00000073]
 [ 0.00000026  0.00000026]
 [ 0.00002501  0.00002501]]
